Gene,Coefficient_x,Odds Ratio,Coefficient_y,Absolute_Coefficient
MAPRE1,0.00192667,1.001928528,0.000312967,0.000312967
ZNF280D,0.001923437,1.001925288,0.00035676,0.00035676
PDZK1IP1,0.001923393,1.001925244,0.000328369,0.000328369
MRPL42,0.001921143,1.001922989,0.000172308,0.000172308
DCTN6,0.001920316,1.001922161,0.000290333,0.000290333
ADARB1,0.001920062,1.001921907,0.000306515,0.000306515
SGPL1,0.001920042,1.001921887,0.000225778,0.000225778
TWF1,0.001919259,1.001921102,0.000269665,0.000269665
CRCP,0.001916852,1.00191869,0.000257643,0.000257643
PHC3,0.001916842,1.001918681,0.000367882,0.000367882
TMEM138,0.001916414,1.001918251,0.000160805,0.000160805
SPSB2,0.001916118,1.001917955,0.000270874,0.000270874
CHCHD4,0.0019153,1.001917136,0.000318816,0.000318816
CERCAM,0.001914854,1.001916689,0.000149056,0.000149056
GABBR2,0.001914384,1.001916217,0.000153418,0.000153418
ARHGEF39,0.001914219,1.001916052,0.000261312,0.000261312
LMBR1,0.001914086,1.001915919,0.000279561,0.000279561
DUOXA1,0.001914034,1.001915867,0.000457303,0.000457303
OTUD4,0.00191314,1.001914971,0.000418293,0.000418293
PPP1R21,0.001912951,1.001914782,0.000298213,0.000298213
PIGC,0.001912645,1.001914476,0.000201279,0.000201279
CCDC146,0.001912412,1.001914242,0.000213581,0.000213581
DHRS13,0.001912214,1.001914044,0.000328965,0.000328965
BPGM,0.001911303,1.00191313,0.000149602,0.000149602
GPR89B,0.001911271,1.001913099,0.000180185,0.000180185
APLNR,0.001911079,1.001912906,0.000287152,0.000287152
ABCC10,0.001910731,1.001912558,0.000325515,0.000325515
YIF1B,0.00191052,1.001912346,0.000139343,0.000139343
MAGI3,0.001909985,1.001911811,0.000246222,0.000246222
SASH3,0.001909755,1.00191158,9.614478286158484e-05,9.614478286158484e-05
ZYG11A,0.00190779,1.001909611,0.000151552,0.000151552
TRIM11,0.001907481,1.001909301,0.000185212,0.000185212
DR1,0.001906876,1.001908696,0.000251657,0.000251657
FAHD1,0.001906129,1.001907947,0.000269542,0.000269542
DCTPP1,0.001905112,1.001906928,0.000235616,0.000235616
DNAJC15,0.001903301,1.001905114,0.000400422,0.000400422
ARHGAP18,0.001902822,1.001904633,0.000328639,0.000328639
RSBN1,0.001902495,1.001904306,0.000347092,0.000347092
KIF20B,0.001902115,1.001903925,0.00024444,0.00024444
FBXL4,0.001901418,1.001903227,0.000350492,0.000350492
PTPRO,0.00190135,1.001903158,-7.73E-05,7.729620627600986e-05
FAM216A,0.001901343,1.001903152,0.000233851,0.000233851
FOLR2,0.00190061,1.001902417,-4.41E-05,4.413621327383627e-05
CLHC1,0.001898787,1.001900591,0.000260494,0.000260494
GAL,0.001898655,1.001900459,-0.000174199,0.000174199
HAUS8,0.001898323,1.001900126,0.00010844,0.00010844
C2orf68,0.001898076,1.001899879,0.000313583,0.000313583
CHST15,0.001898024,1.001899827,0.000295068,0.000295068
POGZ,0.001897691,1.001899493,0.000236219,0.000236219
SNRPD1,0.001896921,1.001898721,0.000184035,0.000184035
PALB2,0.001895707,1.001897505,0.000340614,0.000340614
TMEM134,0.00189547,1.001897268,0.000328444,0.000328444
SLC29A1,0.00189537,1.001897168,0.000281195,0.000281195
ZBTB8OS,0.001895221,1.001897019,0.000150403,0.000150403
ATP6V1E1,0.001894617,1.001896413,0.000247599,0.000247599
XRCC4,0.001894617,1.001896413,0.000150954,0.000150954
MSL2,0.001894393,1.001896188,0.000302231,0.000302231
CTNS,0.001894383,1.001896178,0.000327787,0.000327787
PLCB1,0.001894062,1.001895857,0.000546051,0.000546051
ADK,0.001893975,1.00189577,0.000280529,0.000280529
RBM4B,0.001893755,1.00189555,0.000234022,0.000234022
ILF2,0.001893268,1.001895061,0.000182497,0.000182497
RGS11,0.001892146,1.001893937,0.000425971,0.000425971
NDUFC2,0.001891967,1.001893758,0.00017086,0.00017086
SDF2L1,0.001891617,1.001893407,0.000158178,0.000158178
CSF3R,0.001891566,1.001893356,-3.40E-05,3.399074299831415e-05
EIF6,0.001890528,1.001892317,0.000290898,0.000290898
PSD,0.001890103,1.00189189,0.000285056,0.000285056
EIF4A3,0.001890089,1.001891876,0.00012752,0.00012752
ATP2C1,0.001890085,1.001891872,0.000277242,0.000277242
HSF1,0.001889977,1.001891764,0.000236034,0.000236034
CCNC,0.001889681,1.001891468,0.000231177,0.000231177
UBN2,0.001888336,1.00189012,0.000246386,0.000246386
GINS4,0.00188769,1.001889473,0.00014534,0.00014534
ATRAID,0.001887576,1.001889359,0.000332277,0.000332277
CHEK1,0.001886371,1.001888151,0.000122023,0.000122023
MANBAL,0.001886232,1.001888012,0.000238366,0.000238366
ARMC10,0.001885695,1.001887474,0.00019433,0.00019433
NCK1,0.001885219,1.001886997,0.000348958,0.000348958
DPY19L1,0.001885011,1.001886788,0.000265396,0.000265396
KLHL2,0.001884738,1.001886515,0.000344142,0.000344142
GPR143,0.001884377,1.001886154,0.000157199,0.000157199
SEPHS2,0.001884124,1.0018859,0.000286589,0.000286589
NFE2L3,0.001883632,1.001885407,1.800338682705644e-05,1.800338682705644e-05
SMG5,0.001883461,1.001885236,8.983168837550966e-05,8.983168837550966e-05
FBXO34,0.001881385,1.001883155,0.000372123,0.000372123
NSMCE4A,0.001879261,1.001881028,0.000297358,0.000297358
HNRNPU,0.001879003,1.001880769,0.000283746,0.000283746
METTL6,0.001878881,1.001880647,0.000212613,0.000212613
CLTA,0.001878435,1.001880201,0.000278391,0.000278391
CNPY4,0.001878318,1.001880083,0.000164556,0.000164556
GPN2,0.001878202,1.001879967,0.000235609,0.000235609
GPR65,0.001877959,1.001879724,-4.90E-05,4.901354153843572e-05
UNC50,0.001877133,1.001878896,0.000312654,0.000312654
MRPL2,0.001876735,1.001878497,0.00033866,0.00033866
NDUFB1,0.001875571,1.001877331,0.000353702,0.000353702
ZNF668,0.001874047,1.001875804,0.000306815,0.000306815
TMEM38A,0.001873086,1.001874841,0.000337791,0.000337791
FAM110B,0.001873018,1.001874773,0.000188894,0.000188894
CSNK1E,0.00187296,1.001874715,0.000225599,0.000225599
STARD3NL,0.001872363,1.001874117,0.000279795,0.000279795
TULP4,0.001871996,1.001873749,0.000251756,0.000251756
ARHGAP30,0.00187041,1.001872161,0.000137511,0.000137511
COCH,0.001869661,1.00187141,0.000321131,0.000321131
ENOPH1,0.001869343,1.001871091,0.000225298,0.000225298
ATP6AP1,0.001868123,1.001869869,0.000193969,0.000193969
LAPTM5,0.001867935,1.00186968,6.893487786937321e-05,6.893487786937321e-05
NR2C2AP,0.001867923,1.001869669,0.000156309,0.000156309
BBS5,0.001867549,1.001869294,0.000264749,0.000264749
MAK,0.001867097,1.001868841,0.000196094,0.000196094
CCDC78,0.001867017,1.001868761,0.000519395,0.000519395
SWI5,0.001866681,1.001868424,0.000149987,0.000149987
TRABD,0.001865653,1.001867395,0.000257483,0.000257483
DOK6,0.001865106,1.001866846,0.000484701,0.000484701
BET1,0.001863085,1.001864821,0.00018099,0.00018099
DEPDC7,0.001862514,1.00186425,2.821717496602353e-05,2.821717496602353e-05
ZNF146,0.001861707,1.001863441,0.000193874,0.000193874
MTMR6,0.001861205,1.001862938,0.000295316,0.000295316
SNX14,0.001860662,1.001862394,0.000171315,0.000171315
PRKCQ,0.001859316,1.001861046,0.000297917,0.000297917
MRPL4,0.001857689,1.001859416,0.000245924,0.000245924
PRKCSH,0.001855496,1.001857218,0.000297699,0.000297699
UBE2D2,0.001852932,1.001854649,0.000238737,0.000238737
MRPL1,0.001852746,1.001854463,0.000281819,0.000281819
FUCA2,0.00185272,1.001854438,0.000205766,0.000205766
CCR7,0.001851606,1.001853322,0.000303157,0.000303157
C5orf22,0.001850008,1.00185172,0.000258427,0.000258427
CSK,0.001849935,1.001851647,0.000245958,0.000245958
FUT2,0.001849121,1.001850831,2.2013384579798977e-05,2.2013384579798977e-05
COPB2,0.001848993,1.001850703,0.000219769,0.000219769
HAT1,0.001847183,1.001848891,0.000235528,0.000235528
NABP2,0.001844619,1.001846322,0.000179178,0.000179178
FAM98C,0.0018432,1.001844899,0.00024238,0.00024238
MRM1,0.001842753,1.001844452,0.000373134,0.000373134
TSPAN2,0.001842196,1.001843893,0.000401066,0.000401066
ZNF12,0.001841784,1.001843482,0.000285395,0.000285395
DRAXIN,0.001841512,1.001843208,0.000205466,0.000205466
DDX58,0.0018415,1.001843196,0.000100842,0.000100842
CSTB,0.001841247,1.001842943,0.00019961,0.00019961
AGMAT,0.001840859,1.001842555,0.000263846,0.000263846
BIRC2,0.001840728,1.001842423,0.000257111,0.000257111
GNPNAT1,0.001840194,1.001841889,0.000327602,0.000327602
MFSD12,0.001839757,1.001841451,8.058873311682542e-05,8.058873311682542e-05
SLC25A44,0.001839348,1.00184104,0.000244826,0.000244826
THOC1,0.001838508,1.001840199,0.000152412,0.000152412
ZNF697,0.001836211,1.001837898,0.000236029,0.000236029
LAD1,0.001835221,1.001836906,0.000244161,0.000244161
EIF2B4,0.001834321,1.001836005,0.000256541,0.000256541
DNASE1,0.001834174,1.001835857,0.000273217,0.000273217
PRMT1,0.001833924,1.001835607,0.000227118,0.000227118
CISD3,0.001833339,1.00183502,0.000287803,0.000287803
PCGF1,0.001833097,1.001834778,0.000103536,0.000103536
SRI,0.001832478,1.001834158,0.000146223,0.000146223
TRPV4,0.001832002,1.001833681,0.000376959,0.000376959
INTS9,0.001831404,1.001833082,0.000336363,0.000336363
UBE2R2,0.001831015,1.001832692,0.000280668,0.000280668
MED10,0.001830775,1.001832452,0.000181307,0.000181307
URI1,0.001830458,1.001832134,0.000222156,0.000222156
ZNF43,0.001829598,1.001831273,0.000227567,0.000227567
SPPL2A,0.001828195,1.001829868,0.00019312,0.00019312
SLC19A1,0.001827845,1.001829517,0.000303868,0.000303868
COX19,0.001827513,1.001829184,0.000208031,0.000208031
HDAC9,0.00182729,1.00182896,0.000243831,0.000243831
ZNF606,0.001827279,1.00182895,0.000169619,0.000169619
PDE7A,0.001827255,1.001828925,0.000244998,0.000244998
MREG,0.00182696,1.00182863,4.091090623828224e-05,4.091090623828224e-05
RAB5A,0.001826505,1.001828174,0.000272998,0.000272998
PEX26,0.001825775,1.001827443,0.000328648,0.000328648
RNASE1,0.001824738,1.001826404,-5.43E-05,5.431016682101546e-05
RBX1,0.001824239,1.001825904,0.000160761,0.000160761
FBXL7,0.001823473,1.001825136,0.000462273,0.000462273
TMEM198,0.001822148,1.001823809,0.000310438,0.000310438
MRPL51,0.001821067,1.001822726,0.000160274,0.000160274
RNF7,0.00182051,1.001822168,0.000163881,0.000163881
LAX1,0.001820257,1.001821914,0.000151518,0.000151518
TM2D2,0.001820232,1.00182189,0.000173197,0.000173197
MFSD8,0.001819951,1.001821608,0.000315074,0.000315074
RPL7L1,0.001819093,1.001820749,0.000214315,0.000214315
COPS5,0.001818582,1.001820237,0.000190641,0.000190641
CD81,0.001817305,1.001818957,0.000285512,0.000285512
MRI1,0.001817201,1.001818853,0.000364315,0.000364315
ZFP14,0.00181713,1.001818782,0.000170748,0.000170748
TAF6L,0.001816405,1.001818056,0.000323688,0.000323688
C5orf34,0.001815239,1.001816887,8.472883970052532e-05,8.472883970052532e-05
FAM83H,0.001815146,1.001816794,0.000245983,0.000245983
PM20D2,0.001814316,1.001815963,0.000313672,0.000313672
KIF5C,0.001814255,1.001815902,0.000344602,0.000344602
SOX12,0.001812269,1.001813913,0.000156324,0.000156324
RWDD1,0.001811792,1.001813434,0.000289662,0.000289662
STRAP,0.001810346,1.001811985,0.000195391,0.000195391
SUDS3,0.001810224,1.001811863,0.000324975,0.000324975
FBXO42,0.001810201,1.00181184,0.000286575,0.000286575
LCLAT1,0.001809546,1.001811184,0.000274859,0.000274859
ECH1,0.001809513,1.001811151,0.000313811,0.000313811
ZNF546,0.001809323,1.001810961,0.00027791,0.00027791
MEMO1,0.001808873,1.00181051,0.000181468,0.000181468
VPS28,0.00180782,1.001809455,0.000171051,0.000171051
TRPV3,0.001807768,1.001809403,0.000350035,0.000350035
LAMTOR5,0.001807317,1.001808951,0.000155874,0.000155874
TXNRD1,0.001806985,1.001808618,0.000270513,0.000270513
ACTG1,0.001806242,1.001807875,0.000184524,0.000184524
RNF181,0.001805959,1.001807591,0.000136479,0.000136479
SLCO2B1,0.00180562,1.001807251,2.254919384027127e-05,2.254919384027127e-05
GNPDA1,0.001804955,1.001806585,0.00021515,0.00021515
FAM53A,0.00180437,1.001805999,0.000334169,0.000334169
DNAH2,0.001804181,1.00180581,0.000232237,0.000232237
TTI1,0.001802142,1.001803767,0.000270415,0.000270415
DNER,0.001802022,1.001803646,0.000528385,0.000528385
CXCL17,0.001801106,1.001802729,0.000774249,0.000774249
SGTA,0.00180055,1.001802172,0.00026602,0.00026602
DYNLRB1,0.001799907,1.001801528,0.000224102,0.000224102
DOCK2,0.001799408,1.001801028,0.000133428,0.000133428
RAB1A,0.001799017,1.001800636,0.000169298,0.000169298
DENND6A,0.001798866,1.001800485,0.000301651,0.000301651
ADAMTS17,0.001798103,1.00179972,0.000204727,0.000204727
PPOX,0.001797398,1.001799014,0.00013509,0.00013509
PSMC4,0.001797048,1.001798663,0.000163792,0.000163792
HSPA5,0.001796403,1.001798018,7.638835325198684e-05,7.638835325198684e-05
ANXA3,0.001796336,1.001797951,0.000453993,0.000453993
DNA2,0.001794026,1.001795636,0.000108163,0.000108163
SLAMF8,0.001793884,1.001795494,-0.000174725,0.000174725
STK11,0.001793516,1.001795125,0.000396879,0.000396879
RNF207,0.00179326,1.001794869,0.000279252,0.000279252
CDC73,0.001793227,1.001794836,0.000284263,0.000284263
PPIH,0.001793184,1.001794793,0.000156487,0.000156487
AK1,0.001793098,1.001794706,0.000161132,0.000161132
CTNND1,0.001792055,1.001793662,0.000385449,0.000385449
PDGFC,0.001791811,1.001793417,0.000515593,0.000515593
MOB2,0.001791446,1.001793052,0.000360295,0.000360295
L3MBTL1,0.001791133,1.001792738,0.000239316,0.000239316
ROBO1,0.001789928,1.001791531,0.000235931,0.000235931
CCDC150,0.001789504,1.001791106,0.000144253,0.000144253
PPRC1,0.00178918,1.001790782,0.000256952,0.000256952
IPO13,0.001788383,1.001789983,0.000202828,0.000202828
FDX1,0.001788287,1.001789887,0.00018206,0.00018206
GLI1,0.001787741,1.001789339,0.000491315,0.000491315
TMEM87B,0.001786056,1.001787652,0.000290577,0.000290577
FBXO22,0.001784625,1.001786218,0.00023697,0.00023697
PRPF4B,0.001784575,1.001786168,0.000297506,0.000297506
MORC3,0.001784263,1.001785856,0.00034735,0.00034735
MRPL3,0.001783963,1.001785555,0.000233779,0.000233779
PBK,0.001782824,1.001784415,0.00015563,0.00015563
NUP93,0.001781531,1.001783118,0.000139794,0.000139794
N4BP2,0.001781449,1.001783037,0.000287205,0.000287205
MOCS3,0.001781383,1.00178297,0.000229109,0.000229109
EDEM2,0.001781374,1.001782961,0.000181286,0.000181286
DUS4L,0.001780361,1.001781947,0.000172968,0.000172968
SORT1,0.001779947,1.001781533,0.000324321,0.000324321
POC5,0.001779872,1.001781457,0.000192396,0.000192396
ACTR3B,0.001779848,1.001781433,0.000154663,0.000154663
TCFL5,0.001779814,1.001781399,0.00015741,0.00015741
RAC1,0.001779741,1.001781325,0.000206276,0.000206276
PPIB,0.001778892,1.001780475,0.000242234,0.000242234
COL9A1,0.001778362,1.001779944,8.213658904851965e-05,8.213658904851965e-05
HNRNPH1,0.001778067,1.001779649,0.000265008,0.000265008
SKIV2L,0.001778028,1.00177961,0.000267768,0.000267768
SLC9A6,0.00177792,1.001779501,0.000324017,0.000324017
RRAGB,0.001776344,1.001777923,0.00035473,0.00035473
LRIG1,0.001774062,1.001775637,0.000489909,0.000489909
ATAT1,0.001773852,1.001775427,0.000132407,0.000132407
DTWD1,0.001772982,1.001774555,0.00037431,0.00037431
MTAP,0.001772891,1.001774463,0.000303057,0.000303057
PPP1R18,0.001772596,1.001774168,0.000137037,0.000137037
GLRX,0.001772411,1.001773983,0.000165386,0.000165386
CDK5,0.001770961,1.00177253,0.000104409,0.000104409
FKBP3,0.001770952,1.001772521,0.000231819,0.000231819
PTP4A3,0.001770492,1.001772061,0.000269776,0.000269776
ZMYND11,0.001770384,1.001771952,0.000314661,0.000314661
GALNT18,0.001770314,1.001771882,0.00018225,0.00018225
SLC15A4,0.001770247,1.001771814,0.000331463,0.000331463
RPRD1B,0.001769694,1.001771261,0.00026873,0.00026873
NEURL1B,0.001767481,1.001769044,0.000308469,0.000308469
OPA3,0.001767336,1.001768899,0.000256774,0.000256774
RPS27L,0.001767311,1.001768874,0.000192993,0.000192993
FJX1,0.001766811,1.001768373,0.000306441,0.000306441
HS3ST2,0.00176564,1.001767199,-8.73E-05,8.731909772800601e-05
IL1R1,0.001765323,1.001766882,0.000411195,0.000411195
DHX29,0.001763919,1.001765476,0.000329057,0.000329057
NMNAT1,0.001763314,1.00176487,0.000243497,0.000243497
NAA50,0.001763161,1.001764716,0.000253877,0.000253877
CDK2AP1,0.001762119,1.001763673,0.000159621,0.000159621
SPATA5,0.001760752,1.001762303,0.000311212,0.000311212
CHEK2,0.001760143,1.001761693,8.986234346591068e-05,8.986234346591068e-05
PCIF1,0.001759511,1.00176106,0.00029507,0.00029507
RPA2,0.00175925,1.001760799,0.000207827,0.000207827
MAPKAPK5,0.001758085,1.001759631,0.000257008,0.000257008
VSIG10,0.001757579,1.001759125,0.000319609,0.000319609
ACTR2,0.001756957,1.001758501,0.000163557,0.000163557
SLC39A3,0.001756623,1.001758167,0.000326376,0.000326376
UBA5,0.001755979,1.001757521,0.00025928,0.00025928
TBC1D20,0.001755868,1.001757411,0.000303944,0.000303944
TRAT1,0.001755701,1.001757243,0.000372586,0.000372586
MRPL22,0.001755568,1.00175711,0.000219739,0.000219739
POP7,0.001755051,1.001756592,0.000150685,0.000150685
ATP1B3,0.001755017,1.001756558,0.0001611,0.0001611
POU2F3,0.00175501,1.001756551,0.000196031,0.000196031
CHUK,0.001754872,1.001756412,0.000298145,0.000298145
SEPHS1,0.001754545,1.001756086,0.000126982,0.000126982
COL15A1,0.001754445,1.001755984,0.000507496,0.000507496
ZNF574,0.001753939,1.001755478,0.000159274,0.000159274
DNAJC2,0.001753903,1.001755442,0.000112049,0.000112049
OXR1,0.00175374,1.001755279,0.000351195,0.000351195
POLD1,0.001753658,1.001755196,0.00028356,0.00028356
ARFIP2,0.001753234,1.001754772,0.000251471,0.000251471
SBDS,0.001753196,1.001754734,0.000346425,0.000346425
ENTPD3,0.001751967,1.001753503,0.000420613,0.000420613
RNF114,0.001751362,1.001752897,0.000193679,0.000193679
IMPA1,0.001751176,1.00175271,0.000197216,0.000197216
PPIL1,0.001750703,1.001752236,0.00012453,0.00012453
PPP3R1,0.001750581,1.001752114,0.000251697,0.000251697
GNL3L,0.001750503,1.001752036,0.000170101,0.000170101
HNRNPC,0.001750243,1.001751775,0.000285572,0.000285572
LARP4,0.001749674,1.001751206,0.00016821,0.00016821
GDF15,0.001749257,1.001750788,7.327250283742457e-05,7.327250283742457e-05
IKZF2,0.001749058,1.001750588,0.000332262,0.000332262
DVL3,0.001748876,1.001750406,0.000182575,0.000182575
PCED1A,0.001748565,1.001750095,0.00030394,0.00030394
RFC3,0.001748362,1.001749891,0.000247742,0.000247742
ISCU,0.00174834,1.001749869,0.00029281,0.00029281
ZNF341,0.001748201,1.00174973,0.000227994,0.000227994
PTK6,0.001747358,1.001748886,0.00038992,0.00038992
SLC30A7,0.001745758,1.001747283,0.000106145,0.000106145
SIVA1,0.001744391,1.001745913,0.000148005,0.000148005
SMAD1,0.001744389,1.001745911,0.000295398,0.000295398
NFKBID,0.001744251,1.001745773,0.000120205,0.000120205
BAG3,0.00174423,1.001745752,0.000250806,0.000250806
NDUFS2,0.001743616,1.001745137,0.000155265,0.000155265
TAPT1,0.001742594,1.001744113,0.000236646,0.000236646
L2HGDH,0.001740492,1.001742008,0.000345277,0.000345277
FCHO1,0.001739781,1.001741296,0.000281303,0.000281303
GINM1,0.001739508,1.001741021,0.000252273,0.000252273
CSNK1G2,0.001738949,1.001740462,0.000291093,0.000291093
GOLM1,0.001738372,1.001739884,0.000165534,0.000165534
GFI1,0.001738026,1.001739537,0.00014248,0.00014248
GBA,0.001736237,1.001737745,0.000144508,0.000144508
FOXK2,0.001736038,1.001737546,0.000203752,0.000203752
CACNA1C,0.001735494,1.001737,0.000434796,0.000434796
ZNF48,0.001735324,1.00173683,0.000176752,0.000176752
S1PR3,0.001734074,1.001735578,0.000213495,0.000213495
UFC1,0.001733587,1.00173509,0.000151185,0.000151185
SLC39A7,0.001731957,1.001733458,8.896880336382168e-05,8.896880336382168e-05
CXCL16,0.001730527,1.001732025,0.000236091,0.000236091
CDC42SE1,0.001730221,1.001731719,0.000155664,0.000155664
PLA2G15,0.001729674,1.001731171,0.000119114,0.000119114
MLLT10,0.00172955,1.001731047,0.00027636,0.00027636
TXNDC16,0.00172922,1.001730716,0.000409508,0.000409508
PPP4R2,0.001728834,1.001730329,0.000277192,0.000277192
SMN1,0.001728072,1.001729566,0.000298238,0.000298238
RASSF3,0.001727682,1.001729175,0.000410777,0.000410777
AHCTF1,0.001727257,1.001728749,0.000279518,0.000279518
TAF1D,0.00172696,1.001728452,0.000277003,0.000277003
ATXN7L2,0.001726491,1.001727982,0.000197806,0.000197806
DUSP11,0.001725009,1.001726498,0.000213744,0.000213744
TRMT12,0.001723503,1.001724989,0.000236556,0.000236556
DCAF10,0.001721629,1.001723112,0.000329145,0.000329145
SLC38A10,0.001720958,1.00172244,0.000278882,0.000278882
TBCCD1,0.001720873,1.001722354,0.00023602,0.00023602
VIPR1,0.00172011,1.00172159,0.000651299,0.000651299
HOMER1,0.001719605,1.001721084,0.000276083,0.000276083
PLCB3,0.00171862,1.001720098,0.000175368,0.000175368
NFKBIB,0.001717056,1.001718531,0.000242013,0.000242013
MEN1,0.00171665,1.001718124,0.000199761,0.000199761
SIT1,0.001716135,1.001717608,0.000357563,0.000357563
ELK3,0.001716098,1.001717571,0.00029484,0.00029484
PARP1,0.00171538,1.001716852,0.000209473,0.000209473
PUM2,0.001714476,1.001715946,0.000314384,0.000314384
RFNG,0.001713318,1.001714787,0.000239108,0.000239108
TXNDC15,0.001712802,1.001714269,0.000238232,0.000238232
BIRC5,0.001711541,1.001713006,0.000130525,0.000130525
GDPGP1,0.001711394,1.001712859,9.629222005686422e-05,9.629222005686422e-05
RANBP3,0.001710914,1.001712378,0.000209366,0.000209366
THUMPD3,0.001710328,1.001711791,0.000205228,0.000205228
PRPF31,0.001709627,1.00171109,0.000284073,0.000284073
MED16,0.001709309,1.001710771,0.000342837,0.000342837
DNAJC8,0.001708621,1.001710082,0.000219092,0.000219092
AIMP2,0.001706665,1.001708122,0.000302882,0.000302882
SDAD1,0.001706431,1.001707888,0.000285017,0.000285017
CACNA2D4,0.001705788,1.001707244,0.000259688,0.000259688
MCM4,0.00170482,1.001706274,8.141287845489596e-05,8.141287845489596e-05
ANKRA2,0.00170416,1.001705613,0.000320162,0.000320162
COX5A,0.001703882,1.001705335,0.000277493,0.000277493
RPP38,0.001702248,1.001703698,0.000119778,0.000119778
STK11IP,0.001702232,1.001703681,0.000198022,0.000198022
GDAP2,0.001700854,1.001702301,0.000204539,0.000204539
FAM83D,0.001700198,1.001701644,6.896429690806706e-05,6.896429690806706e-05
ADHFE1,0.001699824,1.001701269,0.000482221,0.000482221
KANSL1,0.001699808,1.001701254,0.000421942,0.000421942
SSU72,0.001698493,1.001699936,0.000280527,0.000280527
SRP54,0.001698482,1.001699925,0.000222457,0.000222457
LRRN1,0.001698296,1.001699739,0.000338476,0.000338476
NDUFAF7,0.001697648,1.001699089,0.000309457,0.000309457
CNN2,0.001697506,1.001698948,0.000271934,0.000271934
TMEM126A,0.001697457,1.001698899,0.000191205,0.000191205
PTP4A1,0.001696997,1.001698437,0.000277811,0.000277811
TRMT1L,0.00169694,1.001698381,0.000237753,0.000237753
SLC4A1AP,0.001696391,1.00169783,0.000190544,0.000190544
LRRC57,0.001695524,1.001696962,0.000244477,0.000244477
TOMM40L,0.001695414,1.001696852,0.000116203,0.000116203
CISH,0.001694991,1.001696428,0.000388993,0.000388993
OVOL1,0.001694886,1.001696323,7.000805185574093e-05,7.000805185574093e-05
DHRSX,0.001693595,1.00169503,0.000303793,0.000303793
EIF5A,0.001693535,1.00169497,0.000234456,0.000234456
FBXL3,0.001692527,1.00169396,0.000297893,0.000297893
SCAI,0.001692174,1.001693606,0.000235838,0.000235838
GATAD2A,0.001691923,1.001693355,0.000189463,0.000189463
ZNF335,0.001691012,1.001692443,0.000267307,0.000267307
PTPN3,0.001690876,1.001692306,0.000280217,0.000280217
CLNS1A,0.001690847,1.001692277,0.000244463,0.000244463
ZNHIT6,0.001688864,1.001690291,0.000347819,0.000347819
SLC6A8,0.001687167,1.001688591,0.000106809,0.000106809
SHMT2,0.001686613,1.001688036,0.00020372,0.00020372
PDXDC1,0.001686144,1.001687566,0.000174342,0.000174342
DENR,0.001686048,1.00168747,0.000208642,0.000208642
CCDC66,0.001686027,1.001687449,0.000235184,0.000235184
ATP6V1H,0.00168599,1.001687412,0.000317597,0.000317597
MRS2,0.001684427,1.001685846,0.000292185,0.000292185
COIL,0.001684053,1.001685472,0.000331752,0.000331752
NXPE3,0.001683511,1.001684929,0.0002777,0.0002777
ABL2,0.001683372,1.00168479,0.000143796,0.000143796
ATP6V0A2,0.001683367,1.001684785,0.000223885,0.000223885
MRPS26,0.001683317,1.001684735,0.000234244,0.000234244
ICOS,0.001682335,1.001683751,0.000189273,0.000189273
PSMA7,0.001682227,1.001683642,0.000190446,0.000190446
ZMPSTE24,0.001681169,1.001682583,0.000181721,0.000181721
ARRDC1,0.001680137,1.00168155,0.000217925,0.000217925
SEC63,0.001678993,1.001680403,0.000277068,0.000277068
MAZ,0.001678497,1.001679906,0.000222666,0.000222666
PARD6G,0.001678281,1.00167969,0.000256658,0.000256658
MARVELD1,0.001676292,1.001677697,0.000298745,0.000298745
RAB11B,0.001676193,1.001677599,0.000348502,0.000348502
TMEM60,0.001675371,1.001676776,0.00021723,0.00021723
CHCHD1,0.001675298,1.001676702,0.000144059,0.000144059
BCS1L,0.001674551,1.001675953,0.000236238,0.000236238
COX6C,0.001674309,1.001675711,0.000259522,0.000259522
SCG5,0.00167422,1.001675622,0.00014274,0.00014274
IL18BP,0.001673369,1.00167477,0.000129922,0.000129922
ZNF296,0.001670427,1.001671823,0.000162435,0.000162435
HNRNPR,0.001670288,1.001671684,0.000281242,0.000281242
CMTM3,0.001669574,1.001670969,0.000212246,0.000212246
IGFBP7,0.00166893,1.001670324,0.000212058,0.000212058
NAA38,0.001667024,1.001668414,0.000206781,0.000206781
RIT1,0.001666616,1.001668005,0.000172615,0.000172615
DCAF4,0.001666596,1.001667986,0.000188904,0.000188904
UBE2A,0.001665918,1.001667307,0.000184323,0.000184323
HAVCR2,0.001665878,1.001667266,-0.000166498,0.000166498
MTM1,0.001665821,1.001667209,0.00030196,0.00030196
ITGA2B,0.001665045,1.001666432,0.000196471,0.000196471
ZNF717,0.001664403,1.001665789,0.00034389,0.00034389
MAP4K3,0.001662562,1.001663945,0.000364971,0.000364971
DCUN1D1,0.001662501,1.001663884,0.000220468,0.000220468
APOM,0.001662468,1.001663851,0.000371413,0.000371413
ZCCHC9,0.001660269,1.001661648,0.000195018,0.000195018
C4orf46,0.001660226,1.001661604,0.000164054,0.000164054
PDSS2,0.001659788,1.001661166,0.000283094,0.000283094
TBCA,0.001659264,1.001660642,0.000273512,0.000273512
PGK1,0.001658707,1.001660083,0.000149419,0.000149419
SMOC2,0.001658225,1.001659601,0.000422382,0.000422382
